Brand;Line;Name;Type;Color;Swabbed;Used;Comment;Private Comment;Archived;Usage
Levenger;"";Fireball;bottle;#dd523b;false;false;"";"";false;0
Levenger;"";Skies of Blue;bottle;#2f4ade;false;false;"";"";false;0
Levenger;"";True Teal;bottle;#0a5767;false;false;"";"";false;0
Montblanc;"";Blue Black;bottle;#253b94;false;false;"";"";false;0
Montblanc;"";Irish Green;bottle;#197831;false;true;"";"";false;1
Monteverde;"";Malibu Blue;bottle;#4f61e9;false;false;"";"";false;0
Noodler's;"";Blue Ghost;bottle;#f8faf6;false;false;"";"";false;0
Papier Plume;"";Bootlegger's Sacrament;sample;#600f33;false;false;"";;false;0
Papier Plume;"";Bootlegger's Scarlet Letter;sample;#502222;false;false;"";;false;0
Papier Plume;"";Da Blue;sample;#4861a2;false;false;"";;false;0
Pelikan;"";Highlighter Green;bottle;#aef77f;false;false;"";"";false;0
Pelikan;Edelstein;Aquamarine;bottle;#19787f;false;false;"";;false;0
Pelikan;Edelstein;Aventurine;bottle;#1a8847;false;false;"";;false;0
Pelikan;Edelstein;Jade;bottle;#14a88a;false;true;"";;false;2
Pelikan;Edelstein;Mandarin;bottle;#f98735;false;false;"";"";false;0
Pelikan;Edelstein;Olivine;bottle;#2c672d;false;true;"";"";false;0
Pelikan;Edelstein;Onyx;bottle;#322c29;false;false;"";"";false;0
Pelikan;Edelstein;Ruby;bottle;#ca384a;false;false;"";"";false;0
Pelikan;Edelstein;Sapphire;bottle;#3438c1;false;false;"";"";false;0
Pelikan;Edelstein;Smoky Quartz;bottle;#6c4934;false;false;"";;false;0
Pelikan;Edelstein;Star Ruby;bottle;#d4246a;false;true;"";"";false;1
Pelikan;Edelstein;Topaz;bottle;#126ebe;false;true;"";;false;1
Pelikan;Edestein;Tanzanite;"";#435082;false;false;"";"";false;0
Pennonia;"";Csontváry-kék;sample;#2c588a;false;false;"";"";false;0
Pennonia;"";Dungó;sample;#f49d0f;false;false;"";"";false;0
Pennonia;"";Gesztenvebarna;sample;#6f4702;false;false;"";"";false;0
Pennonia;"";Gödényzöld;sample;#256947;false;true;"";"";false;1
Pennonia;"";Kékfestő;sample;#2f518c;false;false;"";"";false;0
Pennonia;"";Méregzöld;sample;#308169;false;false;"";"";false;0
Pennonia;"";Zöldike;sample;#879d31;false;false;"";"";false;0
Pilot;"";Blue;bottle;#2741be;false;false;"";"";false;0
Pilot;Iroshizuku;Kon-Peki;bottle;#1175de;false;true;small bottle;;false;2
Pilot;Iroshizuku;Momiji;bottle;#e82e5b;false;true;"";"";false;0
Pilot;Iroshizuku;Tsuki-yo;bottle;#1f5c8b;false;false;"";"";false;0
Pilot;Iroshizuku;Tsukushi;bottle;#804a26;false;false;"";;false;0
Pilot;Iroshizuku;Yama-Budo;bottle;#a3187a;false;false;"";;false;0
Pilot;Iroshizuku;Yu-yaki;bottle;#f87a1b;false;true;"";"";false;0
Pilot;Namiki;Blue;bottle;#2741be;false;false;"";"";false;0
Pure Pens;"";Cwm Idwal;sample;#167d6b;false;true;"";"";false;1
Robert Oster;"";Aussie Gold;sample;#e3a00b;false;false;"";"";false;0
Robert Oster;"";Bondi Blue;bottle;#0b86c3;false;true;"";"";false;2
Robert Oster;"";Chartreuse;sample;#ceeb98;false;false;"";"";false;0
Robert Oster;"";Flaming Blue;sample;#23399c;false;false;"";"";false;0
Robert Oster;"";GoGo;sample;#5d41a1;false;false;"";"";false;0
Robert Oster;"";Morning Mist;sample;#2d9196;false;false;"";;false;0
Robert Oster;"";Summer Storm;sample;#6c688c;false;false;"";"";false;0
Robert Oster;"";Sushi;sample;#f58781;false;false;"";"";false;0
Robert Oster;"";Tokyo Blue Denim;sample;#263598;false;false;"";"";false;0
Rohrer & Klingner;"";Alt-Goldgrün;sample;#7b8a37;false;false;"";;false;0
Rohrer & Klingner;"";Eisen Gallus Scabiosa;sample;#685a6d;false;false;"";;false;0
Sailor;Manyo;Chigaya;sample;#33393b;false;false;"";"";false;0
Sailor;Manyo;Konagi;sample;#3e57cf;false;true;"";"";false;1
Sailor;Manyo;Nadeshiko;sample;#6c86cb;false;false;"";"";false;0
Sailor;Manyo;Sakura;sample;#f19191;false;false;"";"";false;0
Sailor;Manyo;Shirakashi;sample;#52573d;false;false;"";"";false;0
Sailor;Manyo;Ukikusa;sample;#9bcd5d;false;false;"";"";false;0
Sailor;Manyo;Ume;sample;#752121;false;false;"";"";false;0
